id,path,thumb,resolution,colors,tags
z8rq8w,https://w.wallhaven.cc/full/z8/wallhaven-z8rq8w.jpg,https://th.wallhaven.cc/lg/z8/z8rq8w.jpg,3001x2002,#cc3333|#990000|#cc6633|#cc0000|#999999,动漫|风景|城市|太空|抽象|赛博朋克|插画|宁静|冷色
rq3g3q,https://w.wallhaven.cc/full/rq/wallhaven-rq3g3q.png,https://th.wallhaven.cc/lg/rq/rq3g3q.jpg,1920x1080,#000000|#424153|#993399|#660000|#999999,太空
2y1xey,https://w.wallhaven.cc/full/2y/wallhaven-2y1xey.jpg,https://th.wallhaven.cc/lg/2y/2y1xey.jpg,3840x2160,#424153|#000000|#663300|#660000|#996633,动漫|风景|城市|太空|抽象|插画|极简|冷色
x8g1ro,https://w.wallhaven.cc/full/x8/wallhaven-x8g1ro.jpg,https://th.wallhaven.cc/lg/x8/x8g1ro.jpg,4617x2597,#424153|#0066cc|#333399|#000000|#0099cc,动漫|风景|太空|写实|插画
9dwvpx,https://w.wallhaven.cc/full/9d/wallhaven-9dwvpx.png,https://th.wallhaven.cc/lg/9d/9dwvpx.jpg,3840x2160,#000000|#424153|#999999|#663399|#993399,太空|写实
2e9xk9,https://w.wallhaven.cc/full/2e/wallhaven-2e9xk9.png,https://th.wallhaven.cc/lg/2e/2e9xk9.jpg,3840x2160,#000000|#993399|#ea4c88|#cc3333|#0099cc,
rdwdzw,https://w.wallhaven.cc/full/rd/wallhaven-rdwdzw.png,https://th.wallhaven.cc/lg/rd/rdwdzw.jpg,3840x2160,#000000|#336600|#663300|#424153|#993399,太空
83p5zj,https://w.wallhaven.cc/full/83/wallhaven-83p5zj.jpg,https://th.wallhaven.cc/lg/83/83p5zj.jpg,4096x2304,#000000|#424153|#663300|#996633|#660000,太空
578pz7,https://w.wallhaven.cc/full/57/wallhaven-578pz7.jpg,https://th.wallhaven.cc/lg/57/578pz7.jpg,3001x2002,#996633|#ea4c88|#cc6633|#993399|#e7d8b1,动漫|风景|太空
j3olww,https://w.wallhaven.cc/full/j3/wallhaven-j3olww.jpg,https://th.wallhaven.cc/lg/j3/j3olww.jpg,3001x2002,#cc6633|#663300|#ffcc33|#996633|#660000,太空
y8rd7l,https://w.wallhaven.cc/full/y8/wallhaven-y8rd7l.jpg,https://th.wallhaven.cc/lg/y8/y8rd7l.jpg,3001x2002,#cc3333|#cc0000|#990000|#cc6633|#999999,动漫|风景|太空|写实|冷色
od17e7,https://w.wallhaven.cc/full/od/wallhaven-od17e7.jpg,https://th.wallhaven.cc/lg/od/od17e7.jpg,1920x1200,#cc3333|#e7d8b1|#424153|#996633|#cc6633,太空
oxz5y9,https://w.wallhaven.cc/full/ox/wallhaven-oxz5y9.jpg,https://th.wallhaven.cc/lg/ox/oxz5y9.jpg,1500x2009,#000000|#424153|#999999|#abbcda|#cccccc,动漫|风景|城市|太空|抽象|插画|赛博朋克|宁静|活力
dgrr1o,https://w.wallhaven.cc/full/dg/wallhaven-dgrr1o.jpg,https://th.wallhaven.cc/lg/dg/dgrr1o.jpg,3840x2160,#000000|#663300|#ff9900|#cc6633|#996633,太空
z8qkwv,https://w.wallhaven.cc/full/z8/wallhaven-z8qkwv.png,https://th.wallhaven.cc/lg/z8/z8qkwv.jpg,2560x1440,#333399|#abbcda|#cc6633|#0066cc|#ffcc33,太空|写实
83qrmj,https://w.wallhaven.cc/full/83/wallhaven-83qrmj.jpg,https://th.wallhaven.cc/lg/83/83qrmj.jpg,1440x2560,#000000|#f5dd01|#cc6633|#424153|#cc3333,动漫|风景|城市|太空|抽象|插画|冷色|活力
4ldr2y,https://w.wallhaven.cc/full/4l/wallhaven-4ldr2y.jpg,https://th.wallhaven.cc/lg/4l/4ldr2y.jpg,1920x1080,#66cccc|#0066cc|#333399|#0099cc|#ffffff,动漫|风景|太空|赛博朋克
9585vk,https://w.wallhaven.cc/full/95/wallhaven-9585vk.jpg,https://th.wallhaven.cc/lg/95/9585vk.jpg,1920x1080,#ffffff|#000000|#cccccc|#424153|#999999,动漫|太空
1j78z3,https://w.wallhaven.cc/full/1j/wallhaven-1j78z3.jpg,https://th.wallhaven.cc/lg/1j/1j78z3.jpg,2000x1333,#333399|#424153|#000000|#0066cc|#66cccc,太空|赛博朋克|插画
135rew,https://w.wallhaven.cc/full/13/wallhaven-135rew.jpg,https://th.wallhaven.cc/lg/13/135rew.jpg,1440x2880,#000000|#f5dd01|#424153|#0099cc|#cc6633,
q6xle5,https://w.wallhaven.cc/full/q6/wallhaven-q6xle5.jpg,https://th.wallhaven.cc/lg/q6/q6xle5.jpg,1440x2880,#000000|#f5dd01|#424153|#0099cc|#cc6633,动漫|太空
j5gv75,https://w.wallhaven.cc/full/j5/wallhaven-j5gv75.jpg,https://th.wallhaven.cc/lg/j5/j5gv75.jpg,1440x3000,#000000|#f5dd01|#cc6633|#424153|#cc3333,
zmw5jv,https://w.wallhaven.cc/full/zm/wallhaven-zmw5jv.jpg,https://th.wallhaven.cc/lg/zm/zmw5jv.jpg,1440x2880,#000000|#f5dd01|#424153|#cc6633|#cc3333,风景
p8eyzj,https://w.wallhaven.cc/full/p8/wallhaven-p8eyzj.jpg,https://th.wallhaven.cc/lg/p8/p8eyzj.jpg,1440x2880,#000000|#f5dd01|#cc6633|#424153|#cc3333,
p822gp,https://w.wallhaven.cc/full/p8/wallhaven-p822gp.jpg,https://th.wallhaven.cc/lg/p8/p822gp.jpg,4475x3940,#ffffff|#0099cc|#0066cc|#66cccc|#abbcda,动漫|太空
1kv19v,https://w.wallhaven.cc/full/1k/wallhaven-1kv19v.jpg,https://th.wallhaven.cc/lg/1k/1kv19v.jpg,3456x2305,#000000|#424153|#cc3333|#333399|#663399,太空
73xkle,https://w.wallhaven.cc/full/73/wallhaven-73xkle.jpg,https://th.wallhaven.cc/lg/73/73xkle.jpg,2500x1667,#0066cc|#333399|#0099cc|#cc6633|#996633,
w8yrlx,https://w.wallhaven.cc/full/w8/wallhaven-w8yrlx.jpg,https://th.wallhaven.cc/lg/w8/w8yrlx.jpg,4040x3030,#663300|#666600|#999900|#996633|#cccc33,动漫|风景|城市|太空|抽象|插画|极简|宁静|冷色
dgrwzj,https://w.wallhaven.cc/full/dg/wallhaven-dgrwzj.jpg,https://th.wallhaven.cc/lg/dg/dgrwzj.jpg,1440x2880,#000000|#424153|#cc3333|#cc6633|#f5dd01,
2em3xm,https://w.wallhaven.cc/full/2e/wallhaven-2em3xm.jpg,https://th.wallhaven.cc/lg/2e/2em3xm.jpg,1440x3200,#000000|#f5dd01|#cc6633|#cc3333|#424153,动漫|风景|城市|太空|抽象|插画|极简|暗黑|活力
k7ezpq,https://w.wallhaven.cc/full/k7/wallhaven-k7ezpq.jpg,https://th.wallhaven.cc/lg/k7/k7ezpq.jpg,3456x2305,#000000|#424153|#660000|#ffffff|#fdadc7,太空|写实|赛博朋克
ymdvo7,https://w.wallhaven.cc/full/ym/wallhaven-ymdvo7.jpg,https://th.wallhaven.cc/lg/ym/ymdvo7.jpg,1440x3000,#000000|#f5dd01|#cc6633|#424153|#cc3333,
kwo2g6,https://w.wallhaven.cc/full/kw/wallhaven-kwo2g6.jpg,https://th.wallhaven.cc/lg/kw/kwo2g6.jpg,1440x2880,#000000|#f5dd01|#cc6633|#cc3333|#660000,动漫|风景|太空|插画|冷色
6k1xgw,https://w.wallhaven.cc/full/6k/wallhaven-6k1xgw.png,https://th.wallhaven.cc/lg/6k/6k1xgw.jpg,1920x1080,#ffffff|#e7d8b1|#999999|#424153|#cccccc,动漫|太空|抽象|插画|写实
76jdy9,https://w.wallhaven.cc/full/76/wallhaven-76jdy9.png,https://th.wallhaven.cc/lg/76/76jdy9.jpg,1920x1080,#e7d8b1|#424153|#ea4c88|#fdadc7|#999999,动漫|太空
nzyjww,https://w.wallhaven.cc/full/nz/wallhaven-nzyjww.jpg,https://th.wallhaven.cc/lg/nz/nzyjww.jpg,1159x1500,#e7d8b1|#999999|#cccccc|#fdadc7|#ea4c88,
2k7x1y,https://w.wallhaven.cc/full/2k/wallhaven-2k7x1y.jpg,https://th.wallhaven.cc/lg/2k/2k7x1y.jpg,2560x1600,#000000|#424153|#cccccc|#999999|#ffffff,动漫|风景|太空|赛博朋克|冷色
013kkw,https://w.wallhaven.cc/full/01/wallhaven-013kkw.png,https://th.wallhaven.cc/lg/01/013kkw.jpg,2560x1600,#999999|#424153|#cccccc|#abbcda|#333399,动漫|风景|太空
oxq5xm,https://w.wallhaven.cc/full/ox/wallhaven-oxq5xm.png,https://th.wallhaven.cc/lg/ox/oxq5xm.jpg,1920x1080,#424153|#663300|#000000|#996633|#660000,
kw1ye6,https://w.wallhaven.cc/full/kw/wallhaven-kw1ye6.png,https://th.wallhaven.cc/lg/kw/kw1ye6.jpg,3840x2160,#424153|#000000|#0099cc|#0066cc|#333399,
k7w73d,https://w.wallhaven.cc/full/k7/wallhaven-k7w73d.png,https://th.wallhaven.cc/lg/k7/k7w73d.jpg,3840x2160,#000000|#424153|#660000|#993399|#999999,动漫|风景|城市|太空|插画|赛博朋克
ne67vo,https://w.wallhaven.cc/full/ne/wallhaven-ne67vo.jpg,https://th.wallhaven.cc/lg/ne/ne67vo.jpg,1500x1000,#663300|#000000|#996633|#cc6633|#cccc33,动漫|风景|城市|太空|抽象|写实|插画|温暖|宁静
e7z3gl,https://w.wallhaven.cc/full/e7/wallhaven-e7z3gl.jpg,https://th.wallhaven.cc/lg/e7/e7z3gl.jpg,1542x2160,#424153|#0099cc|#333399|#0066cc|#66cccc,动漫|风景|城市|太空|抽象|插画|赛博朋克|活力|暗黑
m9m98y,https://w.wallhaven.cc/full/m9/wallhaven-m9m98y.jpg,https://th.wallhaven.cc/lg/m9/m9m98y.jpg,3001x2002,#cc3333|#cc6633|#ea4c88|#cc0000|#660000,动漫|风景|太空|温暖
zmw56v,https://w.wallhaven.cc/full/zm/wallhaven-zmw56v.jpg,https://th.wallhaven.cc/lg/zm/zmw56v.jpg,1440x2560,#000000|#f5dd01|#424153|#cc6633|#0099cc,
0jg3w0,https://w.wallhaven.cc/full/0j/wallhaven-0jg3w0.png,https://th.wallhaven.cc/lg/0j/0jg3w0.jpg,1680x1050,#424153|#000000|#999999|#663300|#996633,动漫
95961w,https://w.wallhaven.cc/full/95/wallhaven-95961w.png,https://th.wallhaven.cc/lg/95/95961w.jpg,3840x2160,#000000|#424153|#fdadc7|#999999|#ea4c88,动漫|风景|城市|太空|抽象|插画|赛博朋克|冷色|活力
q6yljd,https://w.wallhaven.cc/full/q6/wallhaven-q6yljd.png,https://th.wallhaven.cc/lg/q6/q6yljd.jpg,2457x2560,#000000|#cc0000|#990000|#660000|#cc3333,动漫|风景|太空|抽象|插画|写实
